"Marca temporal","Matricula"
"2020/09/26 3:01:59 p.m. GMT-5","1957710"
"2020/09/26 3:02:17 p.m. GMT-5","1941525"
"2020/09/26 3:02:38 p.m. GMT-5","1947135"
"2020/09/26 3:03:06 p.m. GMT-5","1908295"
"2020/09/26 3:03:07 p.m. GMT-5","1904210"
"2020/09/26 3:05:06 p.m. GMT-5","2076217"
"2020/09/26 3:05:18 p.m. GMT-5","1969546"
"2020/09/26 3:05:41 p.m. GMT-5","2076240"
"2020/09/26 3:06:17 p.m. GMT-5","1961088"
"2020/09/26 3:06:20 p.m. GMT-5","1968604"
"2020/09/26 3:06:46 p.m. GMT-5","1858298"
"2020/09/26 3:07:02 p.m. GMT-5","1898963"
"2020/09/26 3:07:21 p.m. GMT-5","1990111"
"2020/09/26 3:09:15 p.m. GMT-5","1949731"
"2020/09/26 3:09:25 p.m. GMT-5","1957959"
"2020/09/26 3:09:52 p.m. GMT-5","1841555"
"2020/09/26 3:10:36 p.m. GMT-5","1898887"
"2020/09/26 3:12:28 p.m. GMT-5","2076304"
"2020/09/26 3:18:24 p.m. GMT-5","1922432 "
