"Marca temporal","Matricula"
"2020/10/31 3:47:24 p.m. GMT-6","1968604"
"2020/10/31 3:47:51 p.m. GMT-6","1941525"
"2020/10/31 3:47:59 p.m. GMT-6","1963285"
"2020/10/31 3:48:06 p.m. GMT-6","1961088"
"2020/10/31 3:53:04 p.m. GMT-6","1922432 "
"2020/10/31 8:03:47 p.m. GMT-6","1908295"
"2020/10/31 9:03:23 p.m. GMT-6","1978610"
