"Marca temporal","Matricula"
"2020/10/03 3:06:58 p.m. GMT-5","1990111"
"2020/10/03 3:07:09 p.m. GMT-5","1968604"
"2020/10/03 3:07:42 p.m. GMT-5","1947135"
"2020/10/03 3:08:20 p.m. GMT-5","1908295"
"2020/10/03 3:08:33 p.m. GMT-5","1963285"
"2020/10/03 3:08:45 p.m. GMT-5","1898963"
"2020/10/03 3:09:07 p.m. GMT-5","1949731"
"2020/10/03 3:09:34 p.m. GMT-5","1941525"
"2020/10/03 3:10:00 p.m. GMT-5","2076239"
"2020/10/03 3:11:10 p.m. GMT-5","1957959"
"2020/10/03 3:13:04 p.m. GMT-5","1961088"
"2020/10/03 3:35:25 p.m. GMT-5","1957710"
"2020/10/03 3:41:10 p.m. GMT-5","2076276"
"2020/10/03 3:45:35 p.m. GMT-5","1922432"
"2020/10/03 3:48:56 p.m. GMT-5","1969546"
"2020/10/03 6:34:33 p.m. GMT-5","1904210"
