"Marca temporal","Matricula"
"2020/09/12 3:06:52 p.m. GMT-5","1968604"
"2020/09/12 3:06:55 p.m. GMT-5","2076499"
"2020/09/12 3:06:57 p.m. GMT-5","1969546"
"2020/09/12 3:06:58 p.m. GMT-5","1990111"
"2020/09/12 3:07:11 p.m. GMT-5","1941525"
"2020/09/12 3:07:19 p.m. GMT-5","1898963"
"2020/09/12 3:07:32 p.m. GMT-5","2076276"
"2020/09/12 3:07:43 p.m. GMT-5","1858298"
"2020/09/12 3:07:50 p.m. GMT-5","2076239"
"2020/09/12 3:07:56 p.m. GMT-5","1990018"
"2020/09/12 3:07:59 p.m. GMT-5","2076299"
"2020/09/12 3:08:11 p.m. GMT-5","1957959"
"2020/09/12 3:09:12 p.m. GMT-5","1962805"
"2020/09/12 3:09:25 p.m. GMT-5","1952789"
"2020/09/12 3:10:27 p.m. GMT-5","1949731"
"2020/09/12 3:11:45 p.m. GMT-5","1947135"
"2020/09/12 3:11:56 p.m. GMT-5","1956563"
"2020/09/12 3:17:11 p.m. GMT-5","1961088"
"2020/09/12 3:36:51 p.m. GMT-5","1957710"
"2020/09/12 3:47:54 p.m. GMT-5","1904210"
"2020/09/12 3:47:57 p.m. GMT-5","1922432"
"2020/09/12 4:10:43 p.m. GMT-5","2076440"
"2020/09/12 4:31:51 p.m. GMT-5","1979081"
"2020/09/12 4:44:00 p.m. GMT-5","1707549"
"2020/09/12 4:45:40 p.m. GMT-5","1841555"
"2020/09/12 4:46:21 p.m. GMT-5","2076218"
"2020/09/12 4:46:26 p.m. GMT-5","1887844"
