"Marca temporal","Matricula"
"2020/09/19 3:13:32 p.m. GMT-5","2076217"
"2020/09/19 3:13:54 p.m. GMT-5","2076299"
"2020/09/19 3:13:57 p.m. GMT-5","2076276"
"2020/09/19 3:13:57 p.m. GMT-5","1908295"
"2020/09/19 3:13:57 p.m. GMT-5","2076440"
"2020/09/19 3:13:59 p.m. GMT-5","1990018"
"2020/09/19 3:14:14 p.m. GMT-5","1963285"
"2020/09/19 3:14:19 p.m. GMT-5","1968604"
"2020/09/19 3:14:20 p.m. GMT-5","1837566"
"2020/09/19 3:14:24 p.m. GMT-5","1961088"
"2020/09/19 3:14:24 p.m. GMT-5","1858298"
"2020/09/19 3:14:34 p.m. GMT-5","1969546"
"2020/09/19 3:14:38 p.m. GMT-5","1957710"
"2020/09/19 3:14:40 p.m. GMT-5","2076304"
"2020/09/19 3:16:43 p.m. GMT-5","1949731"
"2020/09/19 3:18:04 p.m. GMT-5","1904210"
"2020/09/19 3:21:46 p.m. GMT-5","1947135"
"2020/09/19 3:22:26 p.m. GMT-5","2076239"
"2020/09/19 3:27:59 p.m. GMT-5","1941525"
"2020/09/19 3:39:23 p.m. GMT-5","1963894"
"2020/09/19 3:51:00 p.m. GMT-5","1990111"
"2020/09/19 3:59:01 p.m. GMT-5","1922432"
"2020/09/19 4:35:16 p.m. GMT-5","2076189"
"2020/09/19 5:25:01 p.m. GMT-5","2076289"
